cash,asset_value,total_assets,reward,date
1000000.0,0.0,1000000.0,0.0,2019-01-03
894684.9998275719,105347.55060991668,1000032.5504374886,3.255043748850994e-05,2019-01-04
804204.4314922364,201065.37075357817,1005269.8022458146,0.0052698022458146365,2019-01-07
729001.053477975,275881.5472281853,1004882.6007061603,0.004497428945515192,2019-01-08
638671.0537135644,364486.1945806839,1003157.2482942482,0.0010557687244385772,2019-01-09
533619.7877429668,476865.34414010926,1010485.131883076,0.010485131883076093,2019-01-10
463289.78782422596,548409.6100607361,1011699.397884962,0.011699397884961993,2019-01-11
377884.7872960128,634356.3855443794,1012241.1728403922,0.012241172840392167,2019-01-14
283063.6684027698,723672.0438718132,1006735.712274583,0.0012968300066739102,2019-01-15
192592.43025736054,835213.8174874184,1027806.247744779,0.02780624774477891,2019-01-16
92254.58835411574,935241.4852237549,1027496.0735778706,0.027194290856089265,2019-01-17
1894.5887859678885,1019966.8508597496,1021861.4396457175,0.016077462254934338,2019-01-18
21894.58886431414,1018398.8440861092,1040293.4329504233,0.040293432950423425,2019-01-21
31894.58855283648,1013573.8348972985,1045468.4234501349,0.04546842345013502,2019-01-22
38122.06729970538,988172.1409529413,1026294.2082526466,0.007953898045847785,2019-01-23
48122.067419334286,978035.3782935226,1026157.445712857,0.007686320900162968,2019-01-24
53122.067292155334,982207.2530088669,1035329.3203010223,0.025631176462633798,2019-01-25
58122.06721861713,985327.9793699188,1043450.0465885359,0.04151945087055309,2019-01-28
68122.06700949848,975692.6245648164,1043814.6915743148,0.042232882082295475,2019-01-29
68122.06700949848,981345.1550407334,1049467.2220502319,0.04946722205023191,2019-01-30
73122.06722788227,967910.4817500366,1041032.5489779189,0.032995448918866965,2019-01-31
78364.18064322346,972756.9778533538,1051121.1584965773,0.05112115849657739,2019-02-01
89220.38600009144,975050.1921238181,1064270.5781239094,0.06427057812390946,2019-02-11
89220.38600009144,991401.6033941497,1080621.989394241,0.08062198939424103,2019-02-12
