a2c,ddpg,ppo,sac,td3,baseline
0.0,0.0,0.0,0.0,0.0,0.0
-0.00026864509999996515,-0.0005018214999999618,-0.0002591631376469741,-0.0012332299000000348,-0.00010325939999998082,0.0005306408231476089
0.004095072000000044,0.004910883000000031,0.0024766342002676103,0.005780086000000011,0.006843506000000052,-0.0015013220076687866
0.005294540000000038,0.005382138000000035,0.0027290739027091768,0.00579278899999999,0.007314148000000045,0.02403731016684114
0.002303204999999958,-6.893610000004991e-05,0.0012456182891852222,0.0016288070000000298,0.004409155999999959,0.020511349716495257
0.00984772100000002,0.006882398000000045,0.003982722764516948,0.012425349000000046,0.013226589000000037,0.029158744305121827
0.00985571100000001,0.005962337000000058,0.003643525694954791,0.008034320999999997,0.013269810000000055,0.030432610768386513
0.013379851000000024,0.008984189000000012,0.00403508975035639,0.01539731599999999,0.016384138000000034,0.03647394366675476
0.006924787000000011,-0.0001557526999999536,0.00019951854992937296,0.003531494999999995,0.008291532000000006,0.03429425014667655
0.026164371000000044,0.017677915000000037,0.007850677597312838,0.023875187999999964,0.030162412999999944,0.035361968376488306
0.02142822900000005,0.01256403899999999,0.007101778218522435,0.02240236499999999,0.02794064599999995,0.050425837706917664
0.015562290000000038,0.008066824000000023,0.003427929806889035,0.016911665000000038,0.023370398000000046,0.052306341069056184
0.03223246200000006,0.02600097100000002,0.012032510405025213,0.031688748999999954,0.03928601699999999,0.056737151991130316
0.04226454000000004,0.03644943200000003,0.015463858134420356,0.041503397,0.04581802300000005,0.07335787550839595
0.029837925000000046,0.023304077000000048,0.005883514904141542,0.026848783000000053,0.029940055000000052,0.06278412244885462
0.02689114500000002,0.02275873999999999,0.004154717099527828,0.02656704700000002,0.027779902000000002,0.06209922557246639
0.04201338300000003,0.034160300000000046,0.008763277199290227,0.03354433299999998,0.039442839999999965,0.058750781656482724
0.05229131499999994,0.045958358000000005,0.016928317652687198,0.04747315800000006,0.04994371299999999,0.07335969550787308
0.05777799699999998,0.046747256999999987,0.01865097967624839,0.046143493000000015,0.04834664599999995,0.0786292598474957
0.06307148900000006,0.050069629999999886,0.024960636212978397,0.05196613800000004,0.05623893500000006,0.07577998408077541
0.05652402200000011,0.044347244999999993,0.017131931758140213,0.04344452399999998,0.05208508799999999,0.08282489132494596
0.0634491640000001,0.05188996399999992,0.023491587305077236,0.05795788100000005,0.06411436100000004,0.0876422967700914
0.08485887000000011,0.06830305099999998,0.03721759168195236,0.07453367999999994,0.08475827200000012,0.10058364719816204
0.1054422109999999,0.08324519999999995,0.04971344917380298,0.09095561700000009,0.1002947919999999,0.10294094603306474
0.1085567919999999,0.0895886200000001,0.055356834227103274,0.10044954000000003,0.10833095699999994,0.11642585484154709
0.12355850300000003,0.11389806799999996,0.07446087449316541,0.12607843299999996,0.13286727300000004,0.12228554291405645
0.12581598900000007,0.11473860700000008,0.07605950025819591,0.127460348,0.1356737109999999,0.13855225433791335
0.10687849099999992,0.0958787109999999,0.05349363505446003,0.10450982199999993,0.11701168800000009,0.11680836546335276
0.14014926399999997,0.12941683400000004,0.08629795150762959,0.1372950660000001,0.15295404099999996,0.12764339942343322
0.14073859000000008,0.1363988600000001,0.08541433293822664,0.139153382,0.1545150049999999,0.14001921830667347
0.14387733400000002,0.14336713599999995,0.09165612670073263,0.14059711400000005,0.1580394169999999,0.14082139417375578
0.14207662599999993,0.14325470999999995,0.09573080747339409,0.13844838599999995,0.16073576799999992,0.14059598057998415
0.1746631540000001,0.17812373699999998,0.12913846915887972,0.1639624269999999,0.2008501669999999,0.13449250135800825
0.2526125560000001,0.2505851089999999,0.1945642153724972,0.2348878160000001,0.2772838700000001,0.17763092798799207
0.2381954509999999,0.236319152,0.1869571335746867,0.22252736199999995,0.266713601,0.211620749929453
0.23553581199999993,0.23595070299999998,0.18207222492110844,0.23064507000000006,0.2694375560000001,0.20843943523374292
0.22974147600000003,0.22696515400000009,0.17612144664628104,0.2242248659999999,0.26058969299999996,0.21319842313469714
0.260515186,0.2615567150000001,0.2026717485874386,0.2599941839999999,0.292304632,0.21949428961847023
0.2691835209999999,0.2805195589999999,0.2204983384753943,0.277991608,0.3120968289999999,0.2504633563302846
0.27594962599999995,0.30018315500000003,0.2280117037359327,0.2918347150000001,0.3263101100000001,0.24608821075807047
0.2841020589999999,0.3114828289999999,0.2404026077070702,0.30216002300000006,0.3450953529999999,0.24181769296067254
0.270888855,0.30361659899999993,0.23188562672907836,0.2916853570000001,0.3447788330000001,0.23109767408949766
