date,actions,transactions
2019-01-17,"[ 0.10591632  0.7646674   0.8628739  -1.         -1.         -1.
 -1.         -0.47421193  1.         -0.32226014  0.9873559  -0.05583566
 -0.1946201   1.          0.15408742  1.          0.6648399   0.08419806
 -0.9542127  -1.          0.31820014  1.         -0.40644827  0.7988452
  1.          1.          1.         -0.24228044 -0.25520673 -1.
  0.42503312 -0.95815724 -0.7737105   0.45535445 -0.09682116 -1.
 -0.8426938   0.4358467  -1.          0.5869401  -0.03239775  0.7304673
  0.46643108  0.293185    1.          1.         -0.02230236  1.
 -1.         -0.6550653 ]","[   56.83669662    81.99324799   836.02093506 -1060.8503418
  -173.79629517  -613.24108887  -100.71768188  -219.75416565
   950.22711182   -70.02580261   221.63964844     0.
     0.             7.76450062    50.85863495   144.21524048
   118.86107635    29.28444862   -62.29127502  -489.73995972
    80.38848877   527.12036133     0.             0.
   294.73486328   425.76019287   304.49185181  -102.34981537
   -89.61099243  -484.36471558   132.10206604     0.
 -1210.01928711    40.77153397   -90.81467438   -69.52898407
  -883.51208496    80.89060974  -246.05935669   545.02746582
    -9.09660721     0.           656.13195801   213.01165771
    82.62755585    66.48397064    -3.0406723     85.21125031
     0.           -75.7900238 ]"
2019-01-18,"[-1.         -0.7923095   1.          0.74045944 -1.          0.840226
 -0.84956497  0.6120298  -0.18108408  0.12004419  0.3612005   0.28663218
 -0.36060214 -0.02930477 -0.03113726  1.          1.          0.5224601
 -0.09733449  0.12188496 -0.6614778   1.          0.76062393  1.
  0.1664107   0.5730575  -1.         -0.48456734  0.4529402  -0.26458785
  0.5145934   0.92923903  1.          0.38951674 -0.6692184   0.4764393
 -0.37238783 -0.6216302  -0.67050445 -0.23163101 -0.7997222   0.22898948
  0.2555748  -0.25535905 -0.71385264 -0.46834823 -0.54903144 -1.
 -1.          0.5454539 ]","[-5.68366966e+01 -8.46540604e+01  9.73918457e+02  7.89907654e+02
  0.00000000e+00  5.11634094e+02  0.00000000e+00  2.85789551e+02
 -1.74015564e+02  2.65227718e+01  8.07617569e+01  3.61733017e+01
  0.00000000e+00 -2.28175446e-01 -1.02841291e+01  1.46546341e+02
  1.77374786e+02  1.84788574e+02  0.00000000e+00  6.19466362e+01
 -1.71706268e+02  5.31468262e+02  1.66210815e+02  0.00000000e+00
  5.00113335e+01  2.43373703e+02 -3.06966919e+02 -2.07614182e+02
  1.60284012e+02 -1.28515564e+02  1.62170639e+02  0.00000000e+00
  1.55947852e+03  3.48824921e+01 -3.26941826e+02  6.12344208e+01
 -3.89681915e+02 -1.15091125e+02 -8.83257675e+01 -2.16976425e+02
 -2.28408524e+02  0.00000000e+00  3.61359039e+02 -1.86290131e+02
 -5.93039780e+01 -3.22656975e+01 -7.39872742e+01 -8.46454773e+01
  0.00000000e+00  6.36949081e+01]"
2019-01-21,"[-0.06575087  1.         -1.         -0.09938619 -0.5192152  -0.5582431
 -1.          1.          1.         -0.5368617   0.05921257  0.25645295
 -0.49417028 -0.5539434  -0.16623256  1.          0.43530628 -0.6273688
  0.30157158  1.          0.78025115  0.32225838 -0.02579767  1.
  0.66535807  0.21316034  0.35338685 -1.          0.3979848   1.
 -1.          0.10334231 -0.33330712 -1.         -0.31452438  0.01247009
 -0.84693766  0.6699367   0.4002571   0.66918516 -0.27457199 -0.86739063
 -0.3381986  -0.35453838  0.33521625 -1.         -0.0355369   1.
  0.70026934 -0.02000592]","[   0.          101.84336853 -962.24163818 -105.23961639    0.
 -335.59960938    0.          455.34851074  950.22711182 -116.93327332
   12.73673439   31.37461281    0.           -4.15946674  -55.42489243
  143.10163879   75.84473419 -216.79457092  103.98231506  535.94012451
  202.3273468   168.83480835   -5.54967546    0.          187.21069336
   91.98809052  105.28244781 -191.22731018  137.87321472  482.57888794
 -311.92489624    0.         -512.52789307  -75.65402603    0.
    1.58471835 -863.25317383  120.0431366    95.37333679  597.49743652
   -8.6020546     0.         -472.13342285  -97.97602844   28.49039268
  -68.74212646   -4.67989779   84.80973053  120.26869965   -2.29502487]"
2019-01-22,"[-0.10939062  0.33614537 -1.         -1.          0.33457047  0.09528744
  0.23448819  1.          1.          0.7039114   1.         -0.6344086
  0.61204857 -0.32597503 -0.6752522   0.35858464 -0.4082223  -0.42571008
  0.03685402 -0.7098028  -0.2594792  -0.4168139   1.         -1.
 -0.05366775 -0.10967949 -0.22068855  1.         -0.7344471   1.
  1.          0.6969688   1.         -0.9563031   0.49329942  0.7996911
  0.6054844   1.         -0.06719895  0.45555198  0.6259752  -1.
 -0.03332475 -0.07022102  0.01342511  0.13461855 -0.39423704  0.10054217
 -1.         -1.        ]","[ 0.00000000e+00  3.38549042e+01 -9.63892578e+02 -1.04342749e+03
  9.67402802e+01  5.74837990e+01  4.54212646e+01  4.56479279e+02
  9.43200439e+02  1.48976593e+02  2.15101868e+02 -6.75479145e+01
  9.98584747e+01 -2.43568397e+00 -2.25523087e+02  5.08698540e+01
 -7.06704636e+01 -6.19516087e+01  1.26738434e+01 -3.60035492e+02
 -6.56198349e+01 -2.18151794e+02  2.12258347e+02  0.00000000e+00
 -1.52028131e+01 -4.88236923e+01 -6.39324875e+01  4.24192535e+02
 -2.54433289e+02  4.79920135e+02  3.15143250e+02  0.00000000e+00
  1.53770447e+03  0.00000000e+00  4.62696655e+02  1.01131989e+02
  6.10355042e+02  1.78169907e+02 -1.54727211e+01  4.07426758e+02
  1.74051208e+02  0.00000000e+00 -4.62869492e+01  0.00000000e+00
  1.13262832e+00  9.15159893e+00 -5.00964508e+01  8.41613483e+00
 -1.20268700e+02 -1.04291603e+02]"
2019-01-23,"[-1.         -1.          0.23618916  0.515261   -0.00869218  0.9464027
 -0.28512785  1.         -1.          1.          0.86630034 -0.32562616
 -0.09692356  1.          0.43548337  0.22637111  0.4301041  -0.14238946
 -0.00525441 -0.636041   -1.          0.17802057 -1.          0.3064105
 -0.4169584   0.92400926 -0.36626372  0.8729994   0.72054243 -0.13652948
  1.          0.13624476  1.         -1.         -0.8624308   1.
 -0.82657933  0.19364032  1.          1.         -0.2626089   1.
  0.9671835   0.18559803  1.          0.38300222 -0.16760133 -1.
 -0.01190799  1.        ]","[   0.         -104.97210693  228.05226135  547.6373291    -2.56654668
  575.61474609  -45.42126465  456.1003418  -953.77984619  217.6373291
  191.51446533    0.          -16.15920448    7.6499424   143.35202026
   32.78488541   76.49015045    0.           -1.83229887 -311.49465942
 -261.20571899   95.20020294 -215.29916382    0.         -119.02894592
  445.24130249  -97.30606461  376.2409668   251.70205688  -67.25258636
  321.98031616    0.         1542.02001953    0.         -462.69665527
  129.16325378 -842.50262451   35.15721512  234.03747559  904.97735596
  -74.22103882    0.         1371.0357666   135.21246338   85.75579071
   25.85232735  -21.78445625  -84.75093079    0.          106.58299255]"
2019-01-24,"[-1.          0.57876414 -1.         -0.4113453  -1.         -0.84059566
  0.807423   -0.02835524  0.87000835  1.          1.         -0.17410505
 -0.4140746  -0.05699417  1.          1.          1.          0.6183171
  0.39564168  1.         -0.00416421  0.96744734 -0.19797388  1.
 -0.27077228  0.15988742 -1.         -1.          0.6189626   1.
 -1.         -0.40810174  1.         -0.17147322 -0.21232636 -0.23676884
 -1.         -0.17148548 -0.02383056  0.23118512  1.          1.
  0.28657168  0.8111581  -1.          1.          1.          0.40744942
 -1.         -0.39628896]","[ 0.00000000e+00  6.15794334e+01 -8.97187256e+02 -4.37192108e+02
 -9.41737335e+01 -5.01279572e+02  1.57380127e+02 -1.30848999e+01
  8.16066345e+02  2.18584015e+02  2.21359406e+02  0.00000000e+00
 -6.88863754e+01 -4.39499766e-01  3.30283722e+02  1.46244583e+02
  1.75704315e+02  2.16018066e+02  1.38801178e+02  4.97363983e+02
 -1.13079727e+00  5.14692749e+02 -4.28516731e+01  0.00000000e+00
 -7.67725830e+01  7.69696045e+01  0.00000000e+00 -4.32432434e+02
  2.16916519e+02  5.05448730e+02 -3.22580658e+02  0.00000000e+00
  1.53341309e+03  0.00000000e+00  0.00000000e+00 -3.05438824e+01
 -1.00989697e+03 -3.09664669e+01 -5.57724285e+00  2.08158630e+02
  2.83095245e+02  0.00000000e+00  4.04145752e+02  5.95835205e+02
 -8.54512405e+01  6.80092621e+01  1.30664642e+02  3.46324539e+01
  0.00000000e+00 -4.28873940e+01]"
2019-01-25,"[-0.4122057   0.32379735 -0.7150532  -0.55640817  0.21898553  1.
 -0.8018981  -0.38533974 -0.32233286 -1.          1.          0.44661298
  0.69036627 -0.82140523 -0.406266    0.05589408  1.         -1.
 -1.          0.34228623 -1.          0.25465435  0.15296574  0.7886224
  1.         -0.9283685   0.790201    0.7888769   0.87314934 -1.
 -0.4724493  -0.55637133 -0.42263672 -1.          0.21081582  0.01178674
 -0.64633846  0.019483    1.          1.         -1.         -0.257997
  0.12080979 -1.          0.63468677  0.6877377  -0.15383646  1.
 -0.07361543  0.95038414]","[   0.           34.82995224    0.         -585.91479492   63.14206696
  586.24206543 -152.32122803 -177.37321472 -302.90457153 -215.18148804
  221.84065247   54.44574356  118.67958069   -6.26968718 -135.27320862
    7.98245096  175.99003601 -216.01806641 -253.62503755  170.57170105
 -246.90138245  132.60899353   33.05509186    0.          282.25463867
 -425.17453003  230.80728149  340.84707642  302.86978149 -522.62988281
 -150.90370178    0.         -644.49908447    0.          201.03736877
    1.53230107 -650.34460449    3.48057389  234.57328796  906.51971436
 -277.14956665    0.          171.2545166  -731.04766846   57.24675751
   46.52138138  -19.84663963   84.45845795    0.           98.02706909]"
2019-01-28,"[-0.07658732  1.          0.69713145  0.22938594 -0.6657335   1.
  1.         -1.         -1.         -1.          0.13175264  0.05110455
  0.48163515  1.         -0.14113267  1.          1.          0.06551993
  0.35819256 -1.         -1.         -0.6524872   1.         -0.25279945
  1.          0.94703543  0.32746738  0.5987481  -0.32736233  0.295033
 -1.          1.          1.         -0.840338    0.36551052  0.58346695
 -0.11456752  1.         -0.44244647  0.21688366 -0.9268282  -0.3391923
 -0.36110717 -1.         -1.          0.4588841  -0.28880554  1.
  0.99438053  0.34339687]","[   0.          105.75720978  662.84887695  239.78793335  -63.14206696
  572.67205811  185.62173462 -446.83151245 -948.46063232 -210.83435059
   28.75263786    6.27123547   80.67131042    7.55202484  -46.67671967
  144.02041626  172.73066711   22.20246887  120.94889069 -497.8493042
 -242.47596741 -334.70837402  215.29916382    0.          278.12078857
  429.84933472   95.25547791  259.79663086 -111.20853424  152.0647583
 -318.23214722    0.         1500.01501465    0.          340.96768188
   74.18411255 -114.02475739  177.04881287 -101.69173431  191.40734863
 -105.77584839    0.         -500.3147583     0.          -89.50949097
   30.84619713  -37.39570618   83.84506989  164.25563049   34.64735413]"
2019-01-29,"[-1.          1.          0.7369917  -1.         -0.04653246  0.6674719
  0.70554966 -0.14605355  0.3460615   0.03655097  1.          0.77086616
  0.12808675  0.05554101 -0.15854146  1.          0.5771895   0.01090074
  0.76217437 -1.         -0.46678516  0.96958387  0.59536755  1.
 -0.68179774 -0.10562173 -0.67369914  0.36693993 -1.         -0.15130359
  0.4117703   0.06717366 -0.55084103  0.36124137 -0.85261154  1.
 -1.          1.         -1.          0.18732792  0.0740784  -0.31600857
 -0.9260375  -0.19548327  1.         -0.8652355   0.04049726  0.8914573
  0.00455469 -0.07641844]","[ 0.00000000e+00  1.04156036e+02  7.03129028e+02 -3.01779335e+02
  0.00000000e+00  3.81822693e+02  1.30325745e+02 -6.55813293e+01
  3.30066467e+02  7.74752522e+00  2.16104080e+02  1.01791656e+02
  2.15337696e+01  4.21119928e-01 -5.07131424e+01  1.39952927e+02
  9.78858032e+01  3.62088132e+00  2.55541962e+02 -5.17496582e+02
 -1.08656776e+02  4.98859802e+02  1.29346741e+02  0.00000000e+00
 -1.92701660e+02 -4.69350624e+01 -1.92508560e+02  1.59755814e+02
 -3.39710846e+02 -7.78310623e+01  1.28906219e+02  0.00000000e+00
 -8.24020203e+02  3.08832512e+01 -5.42005051e+02  1.26741104e+02
 -1.85596947e+02  1.77578262e+02 -2.30045822e+02  1.65873795e+02
  2.01403999e+01  0.00000000e+00 -1.29602734e+03  0.00000000e+00
  9.18368073e+01 -5.80373268e+01  5.37825060e+00  7.51459045e+01
  7.50138164e-01 -7.69046354e+00]"
2019-01-30,"[ 0.36551583  1.          0.972774    0.89045155 -0.56564313 -0.20947188
 -0.24619871  1.          0.74756247  0.44479883  0.23421325 -0.28413308
 -0.9957075  -0.20140788  0.63648784  1.         -0.05399024  0.95731467
 -0.07156043  1.          0.40335533  1.         -0.8907336   1.
 -0.91382277  0.6233932  -0.13930473  0.70308673 -0.19359946 -0.84341633
 -0.67190397  1.         -0.46380907  1.          1.          0.21517363
  0.89134324 -0.00764768 -0.01255304 -0.24255648  1.          0.6009674
  0.6883759  -1.          0.14856496  0.73793936  0.24673483 -0.25473428
 -1.         -0.40548813]","[ 187.800354    103.47875214  920.24633789  907.58679199    0.
 -119.03975677  -45.50841522  436.54016113  718.3817749    93.95795441
   50.55020523  -35.97076416 -164.63690186   -1.50926876  203.46255493
  133.65409851   -9.07936192  317.98980713  -23.99279404  525.47503662
   96.67967224  516.57159424 -192.80030823    0.         -256.77401733
  272.25738525  -39.60648727  311.4006958   -65.19729614 -432.15328979
 -211.61662292    0.         -691.94256592   85.31171417  901.76202393
   27.08003616  883.91833496   -1.34820724   -2.86335063 -210.92970276
  268.89672852    0.          948.96038818    0.           13.43125248
   50.05163956   32.74568939  -21.47297096 -165.00576866  -41.21953964]"
